文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),max_memory_allocated (GB),策略后平均 epoch 时间 (s)
MotorImagerymonet_bs2_14GB.log,13732.77,18.462890625,13.92744779586792,120.49639666080475
MotorImagerymonet_bs2_15GB.log,13158.56,18.435546875,13.34991979598999,120.66944092512131
MotorImagerymonet_bs2_16GB.log,14124.21,20.609375,14.711464405059814,117.68570122122765
MotorImagerymonet_bs2_17GB.log,14124.21,20.609375,14.711464405059814,119.13012099266052
MotorImagerymonet_bs2_18GB.log,14142.78,19.537109375,14.730807304382324,116.96059361100197
MotorImagerymonet_bs2_19GB.log,15055.14,22.048828125,15.663482189178467,114.15201768279076
MotorImagerymonet_bs2_20GB.log,15193.41,22.048828125,16.525845050811768,113.24836841225624
MotorImagerymonet_bs2_21GB.log,15075.41,22.798828125,16.292038440704346,112.64210733771324
MotorImagerymonet_bs2_22GB.log,15776.9,21.52734375,16.97783899307251,112.34158980846405
MotorImagerymonet_bs2_23GB.log,15776.9,21.52734375,16.97783899307251,110.872379809618
PEMS-SFmonet_bs32_10GB.log,9961.22,11.712890625,9.976486682891846,7.622383266687393
PEMS-SFmonet_bs32_12GB.log,11879.33,13.365234375,11.600908279418945,7.234371453523636
PEMS-SFmonet_bs32_14GB.log,12207.38,16.744140625,13.312907695770264,6.746427893638611
PEMS-SFmonet_bs32_16GB.log,13335.61,17.330078125,15.291532039642334,6.508225202560425
PEMS-SFmonet_bs32_18GB.log,14461.12,18.7421875,17.11646556854248,6.21872079372406
,,,,
Algorithm: cricket_logs_mimose,,,,
Cricketmimose_bs64_8GB.log,8102.8,9.25,7.912891864776611,0.4788844883441925
Cricketmimose_bs64_9GB.log,8818.13,10.15625,8.611077308654785,0.46831464767456055
Cricketmimose_bs64_10GB.log,8818.13,10.15625,8.611077308654785,0.4651278853416443
Cricketmimose_bs64_11GB.log,9749.95,10.81640625,9.520567893981934,0.4547026455402374
Cricketmimose_bs64_12GB.log,10674.9,12.177734375,10.425956726074219,0.44576317071914673
DuckDuckGeesemimose_bs8_10GB.log,8750.1,12.638671875,9.498591899871826,5.315725743770599
DuckDuckGeesemimose_bs8_12GB.log,11172.88,14.560546875,10.909970760345459,5.1745127737522125
DuckDuckGeesemimose_bs8_14GB.log,13688.31,16.49609375,13.36784553527832,4.909641772508621
DuckDuckGeesemimose_bs8_16GB.log,15252.42,17.859375,14.892691612243652,4.800187975168228
DuckDuckGeesemimose_bs8_18GB.log,16803.34,19.916015625,16.40806007385254,4.63142254948616
MotorImagerymimose_bs2_7GB.log,8286.63,16.318359375,8.090200901031494,129.03867504000664
MotorImagerymimose_bs2_8GB.log,8286.63,16.318359375,8.090200901031494,129.85967221856117
MotorImagerymimose_bs2_9GB.log,9452.44,16.318359375,9.228830814361572,127.28500035405159
MotorImagerymimose_bs2_10GB.log,9452.44,16.318359375,9.228830814361572,126.31903833150864
MotorImagerymimose_bs2_11GB.log,10520.02,17.390625,10.85271167755127,123.99772247672081
MotorImagerymimose_bs2_12GB.log,10520.02,17.390625,10.85271167755127,123.77654910087585
